sample_ID,treatment,timepoint,testosterone,cage,14_2_MGG44437_Loop_1,14_2_sp000403315_CTD,14_2_sp009774455_CTD,14_2_species_Loop_1,1XD42_69_sp003612565_Loop_1,Acetatifactor_MGG47754_CTD,Akkermansia_muciniphila_A_Mini-Loop_2,Alistipes_sp003979135_1_Loop_2,Alistipes_sp003979135_2_Loop_2,Bacteroidales_unclassified_1_NTL,Bacteroidales_unclassified_2_NTL,Bacteroides_MGG29794_Loop_2,Bacteroides_sp002491635_1_NTL,Bacteroides_sp002491635_2_NTL,Bacteroides_sp002491635_3_Loop_2,Bacteroides_sp002491635_4_Loop_2,Bacteroides_sp002491635_5_No_Loop,Bacteroides_species_NTL,COE1_MGG04332_CTD,COE1_sp003513705_No_Loop,COE1_sp009774345_CTD,COE1_species_CTD,Clostridia_unclassified_No_Loop,Dubosiella_MGG46395_CTD,Duncaniella_sp002494015_Mini-Loop_2,Eubacterium_F_species_CTD,Eubacterium_J_MGG03273_1_No_Loop,Eubacterium_J_MGG03273_2_NTL,Eubacterium_J_MGG27300_No_Loop,Eubacterium_J_MGG30025_No_Loop,Eubacterium_J_MGG38425_1_No_Loop,Eubacterium_J_MGG38425_2_No_Loop,Eubacterium_J_MGG39083_CTD,Eubacterium_J_MGG43396_1_CTD,Eubacterium_J_MGG43396_2_Loop_1,Eubacterium_J_plexicaudatum_No_Loop,Eubacterium_J_sp009774535_1_CTD,Eubacterium_J_sp009774535_2_No_Loop,Eubacterium_J_sp009774535_3_Loop_1,Eubacterium_R_sp009774715_CTD,Eubacterium_R_sp009774735_No_Loop,Eubacterium_R_species_CTD,Kineothrix_MGG28276_1_CTD,Kineothrix_MGG28276_2_No_Loop,Kineothrix_MGG28276_3_No_Loop,Kineothrix_MGG38724_No_Loop,Lachnospiraceae_multispecies_CTD,Lachnospiraceae_unclassified_1_No_Loop,Lachnospiraceae_unclassified_2_CTD,Lachnospiraceae_unclassified_3_CTD,Lachnospiraceae_unclassified_4_CTD,Lachnospiraceae_unclassified_5_NTL,Lachnospiraceae_unclassified_6_No_Loop,Lactobacillus_taiwanensis_Loop_1,Muribaculum_intestinale_NTL,Muribaculum_sp002358615_Loop_2,Odoribacter_MGG42794_Mini-Loop_1,Paramuribaculum_intestinale_Mini-Loop_1,Paramuribaculum_sp001689535_Mini-Loop_1,Phocaeicola_vulgatus_Mini-Loop_1,Prevotellamassilia_sp002933955_1_Mini-Loop_1,Prevotellamassilia_sp002933955_2_NTL,Schaedlerella_MGG42316_No_Loop,Schaedlerella_arabinosiphila_CTD,Schaedlerella_sp009911175_CTD,UBA3282_MGG31877_CTD,UBA3402_sp002358555_1_Loop_1,UBA3402_sp002358555_2_CTD,UBA3402_sp002358555_3_No_Loop,UBA9502_MGG22603_Mini-Loop_1
12,pre,1,low,3,0,0,0,0,0,0,1.30012126,0,0,1.007151516,0,0,0,2.09828285,2.330902337,0,0,1.181183524,0,1.669270015,0,0,0,1.715304795,1.719627447,2.429071654,0,0,0,0,1.094140228,0,0,0,0,0,0,0,0,2.308274145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.322432213,1.203586967,0,1.128780144,1.439164142,0,1.368216404,1.350652807,0,0,0,0,0,0,0,0
13,pre,1,low,3,0,0,0,0,0,0,0,1.226692135,1.999183947,1.18558396,0,0,1.254694651,1.233015143,1.037092698,0.915534024,0,0,0,0,0,0,0,0,1.140511328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.687518244,0,0,0,0,0,0,0,0,0,0,0,1.225693468,0,0,0,1.454171253,2.209058851,0,1.193099505,1.260364635,0,0,0,0,0,0,0,0
14,pre,1,low,4,0,0,0,1.372148404,0,0,2.269668677,1.167585683,1.258321169,0,1.473383883,0,1.197166013,1.251589804,1.318841535,2.410401633,0,0,0,0.956860472,0,0,0,0,2.633892669,1.276109413,0,0,0,0,3.009191917,2.000120518,0,0,0,0,0.866892048,1.539374444,1.197009613,2.906615611,0,0,0,0,0,1.346841525,1.1975549,1.43962503,0,0,0,0,0,1.26126145,3.268753545,0,1.30297889,1.396807366,0,0,0,3.060733684,0,2.353647983,0,1.31964571,2.676143552,2.475860418,0,0
15,pre,1,low,4,0,0,0,1.221526431,0,0.639307589,0,1.216894431,1.208128914,1.403406209,1.000107574,0,2.921228471,0,1.185069775,1.125015978,0,0,0,4.08151135,1.13850375,0,0,0,0,0,0,0,1.18107029,0,0,0,0,0,0,0,1.140442864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.299602123,1.307681209,2.69839261,0,0,2.868934337,0,0,0,0,1.179241868,1.162846307,1.162666332,0
16,pre,1,low,4,0,0,0,0,0,0,1.32771245,0,0,1.284254864,0,0,0,1.092345304,1.085372889,1.105919643,0,0,0,0,0,0,0,0,1.235608526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.598481455,1.286267445,0,0,1.452880535,0,1.011692912,1.020559155,1.089439848,0,0,0,0,0,0,0,0
17,post,2,high,1,0,0,0,0,0,0,0,0.706200341,2.465612734,0,0,0,0,0,0,0,0,0,0,0,1.399470209,0,0,0,0,0,0,0,0,1.518221869,0,0,2.256557082,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02584598,0,0,0,0,0.982311951,0,0,1.128756485,0,0,1.235468155,1.082680412,0,3.292026834,0,0,0,0,0,0,0,0,0
18,post,2,high,1,0,0,0,0,0,1.188028691,0,0.989499899,1.028755329,2.8894238,0,0,0,0,1.269197509,0,0,1.194407188,0,0,0.995947605,0,0,0,0,0,0,0,0,0,0,0,0,1.170105937,1.240068301,0.99310084,0,0,0,0.854459896,0,0,0,0,0,0,1.140732992,0,0.882788284,0,0,0,1.296655591,0,2.243886586,0,0.918950589,1.807138909,0.946500957,0,1.427389636,1.388466095,0,1.064536276,0,0,0.401021617,0,0,0
20,post,2,high,2,0,0,2.172872436,0,0,0,0,0.820572919,2.942959345,0,0,0,0,0,0,0,0,1.140658885,0,2.115610991,1.335852739,0,0,3.567119542,1.399382116,0,2.605473709,0,1.227061417,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962693447,0,0,0,3.062778215,0,0,0,0,1.2428228,0,0,1.428060777,0,1.37348124,1.103755002,1.267305615,0,1.407593796,1.445629606,1.011942697,0,0,0,0,0,0,0
22,post,2,high,2,0,1.283139793,0,0,0,0,0,1.046659159,0.936871069,1.071432339,0,0,1.65797495,1.603847526,1.146385142,2.779093002,0,3.775942508,0,1.488421685,0,0,0,0,1.492697376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.695362074,0,0,0,0,0,0,0,1.315647825,1.463591033,1.253176713,1.414851055,1.122057028,0,1.374687811,1.384906508,0,0,0,0,0,1.316284483,0,0.883921962
23,post,2,high,2,0,1.583298493,1.485292619,0,0,0,1.2805946,0,0,0,1.344278371,0,1.424009353,3.73284175,4.036534344,2.487668087,0,2.329996871,0,2.571749382,0,0,0,1.275698086,2.671944521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.534265679,3.003465279,0,1.470601759,0,0,1.484540135,2.350688659,0,0,0,0,0,0,0,0
24,post,2,high,2,0,1.052207175,0,0,0,0,1.187668035,0,0,0,0,0,1.279592573,2.009275856,2.568388774,0,0,0.969864801,0,1.449304864,1.977028742,0,0,1.495328103,1.379150341,0,0,0,0,0,0,0,1.314027132,0,1.109326412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.568248584,1.160124139,0,1.832567319,1.152165239,0,0,2.366683939,0,0,0,0,0,0,0,0
26,post,2,high,3,0,0,1.019497023,0,0,0,2.406247273,2.068234116,1.214875002,0,0,0,2.103356118,1.06859162,2.513788884,0.964933228,0,0,0,1.29519003,1.281763301,0,0,1.531343484,1.210993005,1.120058464,0,0,0,0,0,0,0,0,0,0,0,0,0,2.408041494,1.656130013,0,0,0,0,0,1.086323218,0,0,0,0,0,0,0,1.432735868,0,0,1.679006164,1.260422494,0,0.967130566,1.294229749,0,0,0,0,0,0,0,0
27,post,2,high,3,0,0,0,0,0,0,0,0,1.169950738,0,0,0,1.433542174,1.757358619,0,1.37050516,0,0,0,1.720875123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.814363487,0,0,0,0,0,0,0,0,1.262121538,0,1.424136803,1.484219066,0,0,0,0,0,0,0,0,0,0,0
28,post,2,high,3,0,0,0,0,0,0,1.28758793,3.089308113,0.904890885,0,0,0,0,0,0,1.31441739,0,1.552119103,0,1.278796396,0,0,0,0,0.345013011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.040007988,0,0,0,0,0,0,0,1.566850466,1.3086427,1.405750963,1.737307608,0,0,0.836686135,2.930367601,0,0,0,0,0,0,0,0
30,post,2,high,4,1.280314704,0,1.432146011,0,1.327763724,0,1.693562165,2.609859357,3.172067983,0,0,0,0,1.399454739,5.243757754,2.405268193,0,0,0,0,0,0,0,0,1.21148173,1.158330284,0,0,0,0,0,0,2.859011946,1.005044777,3.550035381,1.327791521,0,0,0,0,0,0,0,1.202436681,0,0,1.305492515,0,1.278742507,3.201720492,0,0,0,0,0,1.138167186,0,1.283321881,1.234067955,0,2.789666464,2.846094941,0,1.578137734,0,0,1.308290933,0,0,0
31,post,2,high,4,1.419339238,3.639155188,3.288362685,0,1.317787128,1.058633078,0,1.161759777,1.279917179,0,0,0,0,0,1.094829082,0,0,0,0,4.283084447,0,0,0,0,1.221022231,1.343136173,0,0,0,0,0,0,0,0,1.390816842,0,0,0,0,0,0,0,0.886137312,1.259831811,1.204008972,0,2.202425974,0,0,3.740427758,0,1.42216891,0,0,1.487024158,0,2.473986673,1.326336685,0,0,0,1.461316427,0,0.92194953,0,0,1.527614814,1.983251166,0.996595183,0
32,post,2,high,4,0,0.668268325,0,0,0,0,1.332818095,0,0,0,0,0,0.971584351,0,4.161664149,1.409605529,0,2.463227648,0,0,0,0,0,1.116432293,1.641235628,0,0,0,0,0,0,0,0.931258155,0,0,0,0,0,0,0,1.019701577,0,0,0,0,0,0,0,0,0,0,0,0,0,1.447455743,0,0,1.727570873,1.244744371,0,0.829192959,2.452094134,0,0,0,0,0,0,0,0
33,SHAM,3,high,1,0,0,0,0,0,0,0,1.009990727,1.351808823,0,0,0,0,0,0,0,0,2.749538689,0,0,0,2.200667611,0,0,3.39864259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.417473108,0,0,0,0,0,0,0,0,0,0,0,0,0,2.652942816,3.811920965,0,0,1.305158336,2.401435801,0,1.161571139,0.953721853,0,0,0,0,0,1.079691353,0,0
34,SHAM,3,high,1,0,0,0,0,0,0,0,1.042353104,1.184393674,0,0,0,0,0,0,1.406998145,0,1.226474198,0,0,0,0.915949675,0,0,0,0,0,0,0,0,0,0,1.39347041,0,0,1.753787753,0,0,0.899114675,0.844360211,0,0,0,0,0,1.456426809,1.161513143,0,1.649792363,1.314324547,0,1.09713457,0,0,2.804847944,0,0,1.467911631,0,0,1.16257128,1.139153366,0,2.244927455,0,0,0,0,0,0
35,SHAM,3,high,1,0,0,1.322743429,0,1.007053252,0,0,0.887748821,0.968604366,1.288828401,0,0,0,0,0,0,0,1.623721975,0,1.463419477,0,0.730935049,0,0,0,1.230889316,0,0,0,0,0,0,1.259598179,0,1.296802337,1.503319695,0,0,0,0,0,1.257668409,0,0,0,1.375529485,1.339658625,2.561226721,0,2.364864144,0,2.214921682,0,0,1.408671048,0,1.211669256,1.406200938,0,0,1.309744032,1.276767417,0,0,0,1.304096803,0,0,0,0
36,SHAM,3,high,2,0,1.375983989,0,0,0,0,0,0.906453476,0.975427675,0,0,0,0,0,0,0,0,2.804439805,0,0,1.353320213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45816855,0,1.214045211,0,0,0,0,0,0,0,3.829283365,1.298459651,1.430730282,0,1.439829488,1.283417579,0,0,0,0,0,0,0,0
37,SHAM,3,high,2,0,0,2.344019805,0,0,0,1.240463356,5.792800618,1.073900512,2.769332084,0,0,1.943997658,4.061296207,2.210846982,0,0,1.631049114,0,0,2.471960154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.417996944,1.404440499,0,0,0,0,0,0,0,0,2.85545004,1.157617452,1.52100577,1.103334346,0,1.860406067,1.778521962,0,0,0,0,0,0,0,0
38,SHAM,3,high,2,0,0,0,0,1.442430149,0,1.470230594,0,0,0,0,0,0,1.349582538,1.502004996,1.283094933,0,1.220365294,0,1.357411901,3.001694767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.440916245,0,0,0,0.939903247,0,0,1.128511181,0,0,1.008234109,1.620756806,0,1.322579237,0,0,0,0,0,0,0,0,2.393562745,0,0,0,0,0,0,0,0,0,0,0,0
39,SHAM,3,high,2,0,0,0,0,0,0,1.320575775,2.466624785,2.977251899,2.465356897,0,0,1.022300526,0.989928302,0.744301581,2.770544255,0,1.532212106,0,1.703946536,0,0,0,0,1.548225961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.191076006,0,0,0,0,1.112891273,0,1.095826625,0,0,0,0,0,2.342919534,0,0,1.685753861,1.744016338,1.090875147,1.149124886,1.490525628,0,0,0,0,0,0,0,0
40,SHAM,3,high,2,0,0,0,0,0,0,3.955432699,0,0,1.335877612,0,0,1.051584849,1.149596774,3.897462256,3.844442718,0,0,0,1.466999693,0.705406899,0,0,0,1.822922663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.476371009,0,0,0,0,0,2.322039466,0,0,0,0,0,0,0,3.039595802,0,0,0,0,0,0,1.154077462,0,0,0,0.703166555,0,0,0,0
41,ORCH,3,low,3,0,0,1.168405863,0,0,0,1.462600037,1.109662287,2.499513107,0,0,0,0,0,1.880451148,0,0,3.664900758,0,0,0,0,0,1.946543389,1.060374714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.154937387,0,0,0,0,0,0,0,0,0,0,0,0,0,1.548369053,0,0,1.017924853,3.069132643,0,0,1.207469287,0,0,0,0,0,0,0,0
42,ORCH,3,low,3,0,0,0,0,0,0,1.3190789,1.303327416,2.825837295,1.256482268,0,0,2.761161696,2.735660703,2.590084261,2.887261556,0,0,0,1.640642672,2.295368323,0,0,1.254846596,1.175613417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.167845129,1.081448243,4.801414225,0,1.383511601,0,0,1.13502812,1.033586904,0,0,0,0,0,0,0,0
43,ORCH,3,low,3,3.727459686,0,1.407334298,0,0,0,0,1.619117643,1.018006781,0.87797765,0,0,2.158779408,2.872830006,2.324302443,2.684231061,0,0,0,0,1.202063966,0,0,0,1.214471244,0,1.522563238,1.684856026,0,0,0,0,0,0,0,0,0,0,0,1.296559665,0,0,2.546406753,1.165567508,1.089972671,1.181249918,1.12133749,0,0,0,0,0,0,2.623259881,1.157772036,0,0,3.120386723,0,0,0.992521922,1.22778068,0,0,0,0,0,1.004262724,0,1.428181156
44,ORCH,3,low,3,0,0,0,0,0,0,0,1.219491529,1.048719135,0,0,0,0,0,0,0,0,3.643456295,0,1.290618094,0,0,0,1.865720769,1.125593584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.552451445,0,0,1.328899509,1.030089639,0,1.051971246,2.651268313,0,0,0,0,0,0,0,0
45,ORCH,3,low,3,0,0,0,0,0,0,0,0.661728408,1.293499193,1.327445581,0,0,1.069771953,1.053103742,0.887116649,1.345014456,1.298318498,0,0,1.433191745,0,0,0,0,1.02703928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.297637479,0,0.801304389,1.324881243,0,0.913852107,1.317858486,1.255069966,0,1.426350525,0,0,0,0,0,0,0,0,0
46,ORCH,3,low,4,1.45480223,1.375752954,0,0,0,0,0,1.004068612,1.627912687,1.376171587,1.199010465,0,0,0,0.951945947,1.460391771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.988050666,0,0,1.249488579,0,0,0,1.233806169,0,0,0,1.23608261,0,0,0,0,0,0,0,0,0,0,0,0
47,ORCH,3,low,4,1.494525417,0,0,0,0,1.421485735,0,1.253825567,1.291414887,1.53033604,0,0,0,0,0,0,0,0,0,1.489880697,0,0,0,0,0,1.320670245,0,0,0,1.395372141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.031586753,2.999096739,1.194593395,1.385477854,0,0,0,0,1.364007322,0,0,0,2.932785573,0,0,0,0,0,1.370728355,0,1.331871966,0,0,0,0
48,ORCH,3,low,4,2.287431437,4.376898535,0,0,0,0,1.73140376,0,0,1.335041435,0,0,1.166110344,1.131836493,1.182823178,0,0,0,0,0.929727257,1.143706901,0,0,2.118592601,1.294103183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337447626,0,0,1.69873956,1.129343026,0,2.763013805,1.326205208,0,0,0,0,0,0,0,0
